Timestamp,Name,Value
11.182517,"Pressure (psi)",-0.4875000000000007
11.18278,"IMU Yaw Angle (deg)",-0.014257707014679901
11.190298,"Pressure (psi)",-0.4875000000000007
11.190309,"IMU Yaw Angle (deg)",-0.013907945886254304
11.19602,"Pressure (psi)",-0.4875000000000007
11.196031,"IMU Yaw Angle (deg)",-0.013907945886254304
11.202341,"Pressure (psi)",-0.4875000000000007
11.202349,"IMU Yaw Angle (deg)",-0.0131093917787075
11.209824,"Pressure (psi)",-0.4875000000000007
11.209831,"IMU Yaw Angle (deg)",-0.012766939401626582
11.213934,"Pressure (psi)",-0.4875000000000007
11.213942,"IMU Yaw Angle (deg)",-0.012766939401626582
11.217819,"Pressure (psi)",-0.4875000000000007
11.217827,"IMU Yaw Angle (deg)",-0.012766939401626582
11.223213,"Pressure (psi)",-0.4875000000000007
11.22322,"IMU Yaw Angle (deg)",-0.012959084808826439
11.232226,"Pressure (psi)",-0.4491392801251983
11.232234,"IMU Yaw Angle (deg)",-0.013014661654829972
11.238644,"Pressure (psi)",-0.4491392801251983
11.238651,"IMU Yaw Angle (deg)",-0.013014661654829972
11.24737,"Pressure (psi)",-0.4491392801251983
11.247379,"IMU Yaw Angle (deg)",-0.012920504048466674
11.256889,"Pressure (psi)",-0.4491392801251983
11.256896,"IMU Yaw Angle (deg)",-0.012723122298717492
11.264781,"Pressure (psi)",-0.4491392801251983
11.264792,"IMU Yaw Angle (deg)",-0.013276014089584343
11.275783,"Pressure (psi)",-0.4491392801251983
11.275792,"IMU Yaw Angle (deg)",-0.012588937953114502
11.283664,"Pressure (psi)",-0.4491392801251983
11.284107,"IMU Yaw Angle (deg)",-0.013261040121316903
11.292727,"Pressure (psi)",-0.4491392801251983
11.292734,"IMU Yaw Angle (deg)",-0.013261040121316903
11.299177,"Pressure (psi)",-0.4491392801251983
11.299184,"IMU Yaw Angle (deg)",-0.013626707017421715
11.305934,"Pressure (psi)",-0.4491392801251983
11.305941,"IMU Yaw Angle (deg)",-0.013860220536589616
11.316215,"Pressure (psi)",-0.4491392801251983
11.316223,"IMU Yaw Angle (deg)",-0.013520633965730661
11.318621,"Pressure (psi)",-0.4491392801251983
11.318695,"IMU Yaw Angle (deg)",-0.013520633965730661
11.322865,"Pressure (psi)",-0.4491392801251983
11.322875,"IMU Yaw Angle (deg)",-0.013520633965730661
11.329067,"Pressure (psi)",-0.4491392801251983
11.329084,"IMU Yaw Angle (deg)",-0.013854102686047549
11.336378,"Pressure (psi)",-0.4491392801251983
11.336405,"IMU Yaw Angle (deg)",-0.013854102686047549
11.341886,"Pressure (psi)",-0.4491392801251983
11.3419,"IMU Yaw Angle (deg)",-0.014695701822638504
11.346926,"Pressure (psi)",-0.4491392801251983
11.346933,"IMU Yaw Angle (deg)",-0.014695701822638504
11.351545,"Pressure (psi)",-0.4491392801251983
11.351562,"IMU Yaw Angle (deg)",-0.015731361463665952
11.359556,"Pressure (psi)",-0.4491392801251983
11.359564,"IMU Yaw Angle (deg)",-0.015193421512842168
11.362391,"Pressure (psi)",-0.4491392801251983
11.362398,"IMU Yaw Angle (deg)",-0.015193421512842168
11.36618,"Pressure (psi)",-0.4491392801251983
11.366188,"IMU Yaw Angle (deg)",-0.015193421512842168
11.370232,"Pressure (psi)",-0.4491392801251983
11.37024,"IMU Yaw Angle (deg)",-0.015501000210642804
11.372707,"Pressure (psi)",-0.4491392801251983
11.372714,"IMU Yaw Angle (deg)",-0.015501000210642804
11.375818,"Pressure (psi)",-0.4491392801251983
11.375826,"IMU Yaw Angle (deg)",-0.015501000210642804
11.382277,"Pressure (psi)",-0.4491392801251983
11.38257,"IMU Yaw Angle (deg)",-0.016016984939575186
11.388254,"Pressure (psi)",-0.4491392801251983
11.388266,"IMU Yaw Angle (deg)",-0.016016984939575186
11.393864,"Pressure (psi)",-0.4491392801251983
11.393871,"IMU Yaw Angle (deg)",-0.01554308407008647
11.398604,"Pressure (psi)",-0.4491392801251983
11.398611,"IMU Yaw Angle (deg)",-0.01554308407008647
11.406278,"Pressure (psi)",-0.4491392801251983
11.406293,"IMU Yaw Angle (deg)",-0.015580105394124976
11.411781,"Pressure (psi)",-0.4491392801251983
11.411788,"IMU Yaw Angle (deg)",-0.01612506401538848
11.416339,"Pressure (psi)",-0.4491392801251983
11.416577,"IMU Yaw Angle (deg)",-0.01612506401538848
11.422106,"Pressure (psi)",-0.4491392801251983
11.422114,"IMU Yaw Angle (deg)",-0.01612506401538848
11.430429,"Pressure (psi)",-0.4491392801251983
11.430444,"IMU Yaw Angle (deg)",-0.01628923532366752
11.436251,"Pressure (psi)",-0.4491392801251983
11.436266,"IMU Yaw Angle (deg)",-0.016432528048753732
11.452638,"Pressure (psi)",-0.4491392801251983
